"Account Number","Credit","Debit","Description","Posted Date"
"7120","","27.55","Debit Card Purchase AMZN MKTP US 293RM0C72     AMZN COM BIL   WA","07/02/2021"
"7120","","158.76","Debit Card Purchase THREAD LOGIC               800 3471612    MN","07/01/2021"
"7120","","148.08","Debit Card Purchase AMZN MKTP US 217494IR2     AMZN COM BIL   WA","07/01/2021"
"7120","","18.13","Debit Card Purchase AMZN MKTP US 291B36V61     AMZN COM BIL   WA","07/01/2021"
"7120","","5","Debit Card Purchase AMAZON COM 291KI5M01       AMZN COM BIL   WA","07/01/2021"
"7120","","103.87","Debit Card Purchase AMZN MKTP US 2950C5XO1     AMZN COM BIL   WA","06/30/2021"
"7120","","27.79","Debit Card Purchase AMAZON COM 210P04IH2       AMZN COM BIL   WA","06/30/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","06/29/2021"
"7120","","105.96","Debit Card Purchase AMAZON COM 211VG0G30 A     AMZN COM BIL   WA","06/22/2021"
"7120","","120","Debit Card Purchase AMAZON COM 2132C14D0       AMZN COM BIL   WA","06/18/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","06/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","06/17/2021"
"7120","","167.7","Debit Card Purchase PUBLIC STORAGE 27180       800 567 0759   MD","06/14/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","06/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","06/10/2021"
"7120","","4","Debit Card Purchase THE UPS STORE 3378         CLARKSVILLE    MD","06/09/2021"
"7120","","358.65","Debit Card Purchase PUBLIC STORAGE 27180       800 567 0759   MD","06/04/2021"
"7120","","18.06","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","06/03/2021"
"7120","","1892.78","Debit Card Purchase AIRBNB  HMZKWXMM4E         ...5959     CA","06/02/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","06/01/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","06/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","06/01/2021"
"7120","13628.5","","ACH deposit BAML             Bill Pay Fresh Prints LLC       016FJZJPG1T9IJR","05/27/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","05/24/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","05/24/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     SARASOTA       FL","05/20/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","05/19/2021"
"7120","0.01","","ACH deposit Fresh Prints LLC Verify Bill.com Trial Deposit 016ZKCLJA1SX5X0","05/19/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","05/17/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","05/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","05/17/2021"
"7120","","2625","ACH Withdrawal VENMO            PAYMENT PAYPAL JOE             ...8447632","05/14/2021"
"7120","","43.26","Check printing charge HARLAND CLARKE   CHKORDR MD TECHNICA HACKS   09-15 1TIU...27300","05/13/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","05/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","05/10/2021"
"7120","","127.15","Recur Debit Card Purchase TWILIO SENDGRID            ...4546     CA","05/05/2021"
"7120","","38.8","ACH Withdrawal VENMO            PAYMENT PAYPAL JOE             ...4190967","05/04/2021"
"7120","","100","ACH Withdrawal VENMO            PAYMENT PAYPAL JOE             ...4191534","05/04/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","05/04/2021"
"7120","","33.88","ACH Withdrawal VENMO            PAYMENT PAYPAL JOE             ...6276172","05/03/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","05/03/2021"
"7120","","16.73","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","05/03/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","04/30/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","04/29/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","04/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","04/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     SARASOTA       FL","04/20/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","04/19/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","04/19/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","04/19/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","04/15/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","04/12/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","04/12/2021"
"7120","","200","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...6485","04/07/2021"
"7120","","254.34","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...5362","04/07/2021"
"7120","","127.15","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","04/06/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","04/05/2021"
"7120","","17.38","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","04/05/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","04/02/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","04/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","03/30/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","03/29/2021"
"7120","","1.99","Debit Card Purchase PAYPAL  FAXZERO COM        ...7733     OR","03/29/2021"
"7120","","175","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...6814","03/25/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","03/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","03/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     SARASOTA       FL","03/22/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","03/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","03/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","03/17/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","03/15/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","03/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","03/10/2021"
"7120","","12.96","Debit Card Purchase THE UPS STORE  6693        COLLEGE PARK   MD","03/09/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","03/08/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","03/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","03/03/2021"
"7120","","144.59","Debit Card Purchase THE UPS STORE  6693        COLLEGE PARK   MD","03/03/2021"
"7120","","15.68","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","03/03/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","03/01/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","03/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","03/01/2021"
"7120","","11.68","Debit Card Purchase AMZN MKTP US 5T5R04QQ3     AMZN COM BIL   WA","02/23/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","02/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","02/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     ...2183     FL","02/22/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","02/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","02/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","02/17/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","02/16/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","02/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","02/10/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","02/08/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","02/04/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","02/04/2021"
"7120","","17.74","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","02/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","02/02/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","02/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","02/01/2021"
"7120","","28.61","Debit Card Purchase AMZN MKTP US NY6Q41P83     AMZN COM BIL   WA","02/01/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","01/29/2021"
"7120","","7.88","Debit Card Purchase PLAQUEMAKER                FORTVILLE      IN","01/27/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","01/26/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 ...6657     CA","01/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ...7815     CA","01/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     ...2183     FL","01/21/2021"
"7120","","4628.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...7849","01/19/2021"
"7120","","136","Debit Card Purchase MAILCHIMP    PAYASYOUG     MAILCHIMP CO   GA","01/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","01/19/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","01/19/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/19/2021"
"7120","","11.95","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...2510","01/15/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","01/15/2021"
"7120","","499","Debit Card Purchase CES 2021 REGISTRATION      ARLINGTON      VA","01/14/2021"
"7120","","939.54","Recur Debit Card Purchase UBER   TRIP                ...8996     CA","01/11/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/11/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/11/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","01/07/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","01/07/2021"
"7120","","1226.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...7171","01/05/2021"
"7120","","3273.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...1576","01/05/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","01/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","01/04/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ...5517     FL","01/04/2021"
"7120","","17.47","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","01/04/2021"
